accuracy,loss,val_accuracy,val_loss,learning_rate
0.4784482717514038,1.3735350370407104,0.734883725643158,1.3296775817871094,0.0010000000474974513
0.5086206793785095,1.329891562461853,0.734883725643158,1.215195655822754,0.0010000000474974513
0.5086206793785095,1.2357847690582275,0.734883725643158,0.9575625658035278,0.0010000000474974513
0.5086206793785095,1.0848931074142456,0.734883725643158,0.6627103686332703,0.0010000000474974513
0.5086206793785095,0.977410078048706,0.734883725643158,0.5538846254348755,0.0010000000474974513
0.5086206793785095,0.8330185413360596,0.734883725643158,0.43000268936157227,0.0010000000474974513
0.6206896305084229,0.7024932503700256,0.8232558369636536,0.36079707741737366,0.0010000000474974513
0.6724137663841248,0.6346065998077393,0.8232558369636536,0.3281802237033844,0.0010000000474974513
0.806034505367279,0.5772007703781128,0.9116278886795044,0.29208701848983765,0.0010000000474974513
0.8362069129943848,0.49929946660995483,0.9116278886795044,0.24289923906326294,0.0010000000474974513
0.8362069129943848,0.398444265127182,0.9116278886795044,0.18687258660793304,0.0010000000474974513
0.9137930870056152,0.2990695834159851,1.0,0.1409606784582138,0.0010000000474974513
1.0,0.22599445283412933,1.0,0.1109229326248169,0.0010000000474974513
1.0,0.17549319565296173,1.0,0.09283220767974854,0.0010000000474974513
1.0,0.138809934258461,1.0,0.07875010371208191,0.0010000000474974513
1.0,0.10982327163219452,1.0,0.057922083884477615,0.0010000000474974513
1.0,0.08343668282032013,1.0,0.03362879529595375,0.0010000000474974513
1.0,0.055217064917087555,1.0,0.02012631483376026,0.0010000000474974513
1.0,0.03453869745135307,1.0,0.01352477166801691,0.0010000000474974513
1.0,0.023322701454162598,1.0,0.00960299838334322,0.0010000000474974513
1.0,0.017060907557606697,1.0,0.006909250747412443,0.0010000000474974513
1.0,0.012740129604935646,1.0,0.0051655895076692104,0.0010000000474974513
1.0,0.009781558997929096,1.0,0.00401955284178257,0.0010000000474974513
1.0,0.007773226592689753,1.0,0.0032052353490144014,0.0010000000474974513
1.0,0.006304629612714052,1.0,0.0026222674641758204,0.0010000000474974513
1.0,0.005221986677497625,1.0,0.0021917815320193768,0.0010000000474974513
1.0,0.0044035641476511955,1.0,0.001861346303485334,0.0010000000474974513
1.0,0.003761101746931672,1.0,0.0016067548422142863,0.0010000000474974513
1.0,0.0032555710058659315,1.0,0.0014008498983457685,0.0010000000474974513
1.0,0.0028457241132855415,1.0,0.0012342596892267466,0.0010000000474974513
1.0,0.002511384664103389,1.0,0.001096569118089974,0.0010000000474974513
1.0,0.002233474515378475,1.0,0.0009802767308428884,0.0010000000474974513
1.0,0.002001482527703047,1.0,0.0008823166717775166,0.0010000000474974513
1.0,0.001803686609491706,1.0,0.0007979784859344363,0.0010000000474974513
1.0,0.0016350478399544954,1.0,0.0007253892254084349,0.0010000000474974513
1.0,0.0014892823528498411,1.0,0.0006614970043301582,0.0010000000474974513
1.0,0.001362384413369,1.0,0.0006064126500859857,0.0010000000474974513
1.0,0.0012510867090895772,1.0,0.0005576129769906402,0.0010000000474974513
1.0,0.0011528879404067993,1.0,0.0005150018259882927,0.0010000000474974513
1.0,0.0010660771513357759,1.0,0.00047693384112790227,0.0010000000474974513
1.0,0.0009885786566883326,1.0,0.00044245930621400476,0.0010000000474974513
1.0,0.0009194544982165098,1.0,0.0004119286313652992,0.0010000000474974513
1.0,0.0008574334788136184,1.0,0.00038405126542784274,0.0010000000474974513
1.0,0.0008012104080989957,1.0,0.0003590028209146112,0.0010000000474974513
1.0,0.0007505586836487055,1.0,0.00033640663605183363,0.0010000000474974513
1.0,0.0007043040823191404,1.0,0.0003157005412504077,0.0010000000474974513
1.0,0.0006623278022743762,1.0,0.0002972202200908214,0.0010000000474974513
1.0,0.0006239066715352237,1.0,0.0002799363574013114,0.0010000000474974513
1.0,0.000588691676966846,1.0,0.0002641128667164594,0.0010000000474974513
1.0,0.0005563482991419733,1.0,0.00024976677377708256,0.0010000000474974513
