file,de_variable,samples,rpm,mean,std,min,max,nan_count,inf_count,load_hp,expected_rpm,rpm_difference
B007_0.mat,X118_DE_time,122571,1796.0,0.012607048538945315,0.13866162366530224,-0.6070200798403194,0.6039338123752496,0,0,0,1797,-1.0
B007_1.mat,X119_DE_time,121410,1772.0,0.0038918351975728966,0.1390138554205349,-0.6596490618762475,0.6396695409181637,0,0,1,1772,0.0
B007_2.mat,X120_DE_time,121556,1748.0,0.004564114986322725,0.14718109062277254,-0.5667361676646706,0.6045835528942115,0,0,2,1750,-2.0
B007_3.mat,X121_DE_time,121556,1722.0,0.0041997049833992234,0.1535774376611685,-0.720562235528942,0.6715068263473054,0,0,3,1730,-8.0
IR007_0.mat,X105_DE_time,121265,1797.0,0.013443559443270714,0.2912159093347009,-1.3798864271457085,1.739030499001996,0,0,0,1797,0.0
IR007_1.mat,X106_DE_time,121991,1772.0,0.005800987756189141,0.2928348290041615,-1.4029522155688623,1.5808186826347306,0,0,1,1772,0.0
IR007_2.mat,X107_DE_time,122136,1748.0,0.004551920800437509,0.2994755272633841,-1.4255306986027942,1.6396201996007984,0,0,2,1750,-2.0
IR007_3.mat,X108_DE_time,122917,1721.0,0.004718397126522763,0.3135712339852505,-1.5354992814371258,1.6714574850299402,0,0,3,1730,-9.0
NORMAL_0.mat,X097_DE_time,243938,1796.0,0.012558211199945506,0.0726870986839877,-0.28663753846153844,0.31125415384615385,0,0,0,1797,-1.0
NORMAL_1.mat,X098_DE_time,483903,,0.012564102453463738,0.0651516453058643,-0.34588430769230766,0.31751261538461534,0,0,1,1772,
NORMAL_2.mat,X098_DE_time,483903,,0.012564102453463738,0.0651516453058643,-0.34588430769230766,0.31751261538461534,0,0,2,1750,
NORMAL_3.mat,X100_DE_time,485643,1725.0,0.01245851422293584,0.06469520385023537,-0.306456,0.2837169230769231,0,0,3,1730,-5.0
OR007@6_0.mat,X130_DE_time,121991,1796.0,0.02317147624891866,0.6691044871630503,-3.4087011976047905,3.630425149700599,0,0,0,1797,-1.0
OR007@6_1.mat,X131_DE_time,122426,1773.0,0.004061054044851665,0.5919334923404229,-3.011953393213573,3.112257085828343,0,0,1,1772,1.0
OR007@6_2.mat,X132_DE_time,121410,1750.0,0.003912253645250475,0.5701569501046396,-3.0822065868263473,3.1012927145708584,0,0,2,1750,0.0
OR007@6_3.mat,X133_DE_time,122571,1725.0,0.004529079736929044,0.580377370704462,-3.003019461077844,3.236113872255489,0,0,3,1730,-5.0
