,count,mean,std,min,25%,50%,75%,max
RMS,17.0,0.2652595432853329,0.21226352225186784,0.0644240095473648,0.0740817826091278,0.1548045872703507,0.31234598771021,0.6764078700101428
Variance,17.0,0.11262162275956662,0.14987835828981297,0.0039666614329226,0.0053530360437942,0.0239527078226751,0.097539258586807,0.4563905081918463
Kurtosis,17.0,4.641467942747378,2.078424768056044,2.72453225231968,2.9251843635453616,2.9836384027184133,5.632106309795958,8.053919927152082
Crest_Factor,17.0,4.4096730287730965,0.8275136870030596,3.461846399762538,3.67855212036815,4.030328456893406,5.209851712585274,5.477160644537218
Peak_to_Peak,17.0,2.4997561897562344,2.2776832906253626,0.4393439999999999,0.5202867692307692,1.233532375249501,3.0370496207584834,6.760144011976047
Energy_1x,14.0,64.17927453317978,128.48044544414955,0.3168849213086493,3.504127489939371,10.200840514202827,34.06125512664581,413.0479181939487
Energy_2x,14.0,117.84596676832358,208.45781911351813,7.261748011708384,14.188783272402421,25.15195547402891,81.6064790922628,671.8252637924862
Energy_3x,14.0,2828.925094702231,9160.262826751985,5.584359797453515,6.953728043466652,9.78464907723978,11.454663372439466,34289.76641589213
Energy_BPFI,14.0,6966.64391025935,4130.488938375605,1880.4979965551831,3972.0304044031054,6325.196976596569,8591.300445978257,16241.260928074636
Energy_BPFO,14.0,680.1241371618707,1490.5895646574982,3.0900358164199924,6.2160231268695165,15.181524236813837,239.0387127729703,4360.307900319293
Energy_FTF,14.0,3.9696119489821675,6.784861633306847,0.2452571905525074,0.5411341193896985,1.3370961395686076,3.833142314804502,25.975002298472717
Energy_BSF,14.0,495.4096573451313,1153.8272526719531,19.271153764730663,45.9783633052867,64.04386414491553,80.30144850767658,3909.052673583106
