source_file,signal_id,class,RPM,RMS,Variance,Kurtosis,Crest_Factor,Peak_to_Peak,Energy_1x,Energy_2x,Energy_3x,Energy_BPFI,Energy_BPFO,Energy_FTF,Energy_BSF
B007_0.mat,X118,Ball,1796.0,0.13826566756094869,0.018884426141416135,2.964506058704738,3.8028421968040735,1.0462446706586825,12.651480294637363,7.261748011708384,16.51635423922096,5924.331643722543,12.313566358741758,1.6025760483837546,19.271153764730666
B007_1.mat,X119,Ball,1772.0,0.13847130515995004,0.01915659015724144,2.9836384027184133,3.720945873527809,1.0301635928143713,4.13046294988968,14.695276994785786,6.011213132092929,1880.4979965551831,5.852974819453639,0.4132340575409679,46.27908830384172
B007_2.mat,X120,Ball,1748.0,0.1443306263143591,0.02080781977966833,2.7245322523196798,3.461846399762538,0.9658392814371257,0.9625729349963081,12.849932389226453,6.865564242740023,2830.918487401522,3.0900358164199924,0.3375997282330181,54.560167249243094
B007_3.mat,X121,Ball,1722.0,0.15480458727035076,0.02395270782267517,2.8329972948405544,4.030328456893406,1.233532375249501,0.3168849213086493,14.019952031607966,5.584359797453515,5597.96760306748,6.028660800046353,0.47472839853085513,49.99203227080464
IR007_0.mat,X105,Inner Race,1797.0,0.28930221212320245,0.08346667954222499,5.632106309795958,5.477160644537218,2.7946964071856284,4.612868049163279,85.39663205032012,9.398078958554198,9877.105212534541,6.778110107339007,1.2142673758454414,74.75498913283315
IR007_1.mat,X106,Inner Race,1772.0,0.2931366355732321,0.08589565042227851,5.385723617891519,5.392770779208205,2.7682194810379244,3.174612385007992,101.02107344378048,11.512351867761145,7110.367941515683,15.299637434957846,0.24525719055250741,41.26413095201818
IR007_2.mat,X107,Inner Race,1748.0,0.2978099930025074,0.08867189745657905,5.5366528566288675,5.131425192256514,2.7677321756487028,3.295349003289268,70.21455617051839,11.281597886474433,8866.673468832072,15.063411038669827,0.7403512819662286,81.76876871057699
IR007_3.mat,X108,Inner Race,1721.0,0.31234598771021005,0.09753925858680706,5.219967622167993,4.916020508839509,3.0370496207584834,7.750200733768288,70.23602021809084,9.112823726465336,3013.363693149553,5.08643435811229,2.9597020401023486,96.86183952038684
NORMAL_0.mat,X097,Healthy,1796.0,0.07408178260912789,0.005353036043794271,2.8695993860701643,3.6833471531947435,0.5202867692307692,309.24483106357627,671.8252637924862,5204.385358788566,16241.260928074636,4360.307900319293,7.6445153118754074,3909.052673583106
NORMAL_1.mat,X098,Healthy,,0.06511429192940689,0.00412005121381826,2.9324712611479358,3.498586765666992,0.43934399999999996,,,,,,,
NORMAL_2.mat,X098,Healthy,,0.06511429192940689,0.00412005121381826,2.9324712611479358,3.498586765666992,0.43934399999999996,,,,,,,
NORMAL_2.mat,X099,Healthy,,0.06442400954736485,0.0039666614329226454,2.9251843635453616,3.67855212036815,0.46145723076923073,,,,,,,
NORMAL_3.mat,X100,Healthy,1725.0,0.06618463692171733,0.0042271313879393094,2.9239547053321306,3.6594967171148296,0.4516523076923077,413.04791819394865,527.6528266784026,34289.76641589213,13618.762964232412,4004.051169690678,25.975002298472713,2327.2935629802296
OR007@6_0.mat,X130,Outer Race,1796.0,0.6764078700101428,0.45639050819184634,7.620690955942053,5.244739735922554,6.760144011976047,58.04040940701297,26.039178015771395,6.573946662369812,7765.181377416815,390.1503875183902,7.168852202071335,73.52756104058798
OR007@6_1.mat,X131,Outer Race,1773.0,0.6005299941688694,0.3606226624043987,7.544639950434705,5.114219515079254,6.083195608782436,36.797857318307656,9.331633916435287,10.553821995837042,6726.062309470594,242.2707672624781,4.124289073038553,75.89948789897532
OR007@6_2.mat,X132,Outer Race,1750.0,0.5621475525199261,0.3159915964386536,7.8218988008653465,5.209851712585274,5.649493812375249,18.63294765795029,24.26473293228642,7.218219445646541,3903.8002499772756,229.3425493044469,1.2425879126887474,39.33162578540234
OR007@6_3.mat,X133,Outer Race,1725.0,0.5669407914999363,0.32140085867655127,8.053919927152082,5.443720951714598,6.047459880239521,25.851448551660287,15.034708111109582,10.171219195925365,4176.720867680594,226.10231543716426,1.4316043664484681,45.87812163910169
