run,fp32_latency_ms,int8_latency_ms
1,36.058800003957,2.358200028538704
2,46.49430001154542,2.4714000173844397
3,53.499799978453666,3.346900048200041
4,31.222699966747314,3.6920999991707504
5,22.315000009257346,3.8028000271879137
6,20.648400008212775,3.6865000147372484
7,17.22779998090118,3.341800009366125
8,18.729900009930134,2.7088000206276774
9,20.694400009233505,2.2634000051766634
10,22.78409997234121,2.7484999736770988
11,21.818500012159348,3.584399993997067
12,21.307699964381754,2.4443999864161015
13,19.178399990778416,2.7777000213973224
14,20.29340004082769,2.396999974735081
15,24.144799972418696,2.3925999994389713
16,22.395299980416894,2.5500000338070095
17,20.69060003850609,2.190799976233393
18,21.113700000569224,2.1409000037238
19,25.551400030963123,2.1300000371411443
20,24.075300025288016,2.511399972718209
21,20.411300007253885,2.5112999719567597
22,19.379800010938197,2.9802999924868345
23,19.17510002385825,2.38250003894791
24,23.0716000078246,2.317100006621331
25,24.580600031185895,2.6846000109799206
26,19.48620000621304,2.1363000269047916
27,20.63450001878664,2.5105999666266143
28,24.528800044208765,2.2284000297077
29,22.761099971830845,2.8590000001713634
30,22.73550000973046,2.129299973603338
31,19.629199989140034,2.2671999759040773
32,19.63850000174716,2.9870999860577285
33,20.991800003685057,3.024499979801476
34,23.055900004692376,2.775500004645437
35,22.28490001289174,3.119399945717305
36,20.71150002302602,2.3057000362314284
37,21.666100015863776,2.2007000516168773
38,22.671100043226033,2.1061000297777355
39,21.705999970436096,2.1321999956853688
40,20.860299991909415,2.1804000134579837
41,22.024999954737723,2.9300000169314444
42,19.789099984336644,2.3428999702446163
43,19.99130001058802,2.192899992223829
44,20.681500027421862,2.2077999892644584
45,22.65539998188615,2.1004999871365726
46,19.509299949277192,2.1516999695450068
47,19.69029998872429,2.523300005123019
48,20.487200003117323,2.2154999896883965
49,22.605500009376556,2.2111000143922865
50,20.05789999384433,2.2402000031434
51,21.427900006528944,2.12760001886636
52,20.45939996605739,2.1410000044852495
53,21.61669998895377,2.1158999879844487
54,20.476600038819015,2.8037999873049557
55,20.338999980594963,2.710700035095215
56,22.163700021337718,2.2465999936684966
57,21.503500000108033,2.483899996150285
58,20.58519999263808,2.7779999654740095
59,19.21499997843057,2.2256000083871186
60,21.30709995981306,2.202399948146194
61,23.744399950373918,2.2673000348731875
62,24.819199985358864,2.707200008444488
63,31.46500000730157,2.5799000286497176
64,24.891900015063584,2.3663999745622277
65,21.01789996959269,2.2136999759823084
66,21.137100004125386,2.24470003740862
67,23.5854999627918,2.778399968519807
68,20.544499973766506,2.7729999856092036
69,19.87289998214692,2.68920004600659
70,24.561700003687292,2.23869999172166
71,24.25959997344762,2.2812000242993236
72,24.19160003773868,2.7490999782457948
73,21.912000025622547,2.2947000106796622
74,20.311700005549937,2.64920003246516
75,21.45679999375716,2.9988999594934285
76,21.493200038094074,3.2881000079214573
77,22.69509999314323,2.316199999768287
78,23.75619998201728,2.1367999725043774
79,22.40060002077371,2.3598999832756817
80,20.7512000342831,2.285800001118332
81,20.91880002990365,3.4034999553114176
82,22.425799979828298,3.3684000372886658
83,21.30409999517724,3.990099998190999
84,20.477499987464398,3.9797999779693782
85,26.873599970713258,3.367299970705062
86,29.790899949148297,2.736700000241399
87,28.58000004198402,3.5822000354528427
88,29.58490001037717,3.063799988012761
89,28.58759998343885,2.6910000015050173
90,27.810799947474152,2.7025999734178185
91,29.182099970057607,3.0423999996855855
92,30.43529996648431,3.175599966198206
93,31.1816000030376,2.7268999838270247
94,29.976200021337718,2.595099969767034
95,28.410800034180284,2.7987000066787004
96,30.834699980914593,2.608100010547787
97,29.678800026886165,2.765700046438724
98,27.60809997562319,2.873399993404746
99,24.400099995546043,2.799999958369881
100,30.239899992011487,3.508099995087832
