run,latency_ms
1,3.365500015206635
2,2.1850999910384417
3,2.4340000236406922
4,2.945800020825118
5,2.8108999831601977
6,3.4103000070899725
7,3.2500000088475645
8,2.4990999954752624
9,3.1640000524930656
10,3.7318000104278326
11,2.322999993339181
12,3.2116000074893236
13,3.2810000120662153
14,3.5154999932274222
15,3.3838999806903303
16,3.6430999753065407
17,2.696300041861832
18,3.510700014885515
19,3.559199976734817
20,4.024599969852716
21,2.764899982139468
22,2.1936999983154237
23,2.1321999956853688
24,2.1652000141330063
25,2.401099947746843
26,2.115399984177202
27,2.084899984765798
28,2.085499989334494
29,2.0982000278308988
30,2.088800014462322
31,2.186700003221631
32,2.3842999944463372
33,2.2595000336878
34,2.1918999846093357
35,2.2711000056006014
36,2.107100037392229
37,2.11719999788329
38,2.6215999969281256
39,3.158099949359894
40,2.8185000410303473
41,2.69499997375533
42,2.5201999815180898
43,2.1890999632887542
44,2.2302999859675765
45,2.171300002373755
46,2.583499997854233
47,3.0343999969772995
48,2.4235000018961728
49,2.826399984769523
50,2.236999978777021
51,2.144399972166866
52,2.2929999977350235
53,2.460000046994537
54,2.1565999486483634
55,2.577000006567687
56,2.4984999909065664
57,2.750100044067949
58,2.3400000063702464
59,2.198500034864992
60,2.4017000105232
61,2.143200021237135
62,2.431800006888807
63,2.0938999950885773
64,2.2808999638073146
65,2.2797000128775835
66,3.5611999919638038
67,2.230399986729026
68,2.3695999989286065
69,2.141700009815395
70,3.1219999655149877
71,2.6157000102102757
72,2.8584999963641167
73,3.0789999873377383
74,2.2690999903716147
75,2.945300017017871
76,2.7956999838352203
77,2.7929000207223
78,2.1841999841853976
79,2.5935000157915056
80,2.622599946334958
81,3.648200014140457
82,3.29960003728047
83,2.160899981390685
84,2.185199991799891
85,2.6839999482035637
86,2.3822999792173505
87,2.3301999899558723
88,3.126800002064556
89,3.42110003111884
90,3.3566999481990933
91,3.399499983061105
92,3.3526000333949924
93,2.119300013873726
94,2.1583999623544514
95,2.110700006596744
96,2.6248000212945044
97,2.5572999729774892
98,2.4882000288926065
99,3.3020999981090426
100,3.1152000301517546
